iter	RMSE
0	0.04503735718
1	0.04088874594
2	0.03696178686
3	0.03342034235
4	0.0302663576
5	0.02740447826
6	0.0248080424
7	0.02248175591
8	0.02038440615
9	0.01845744768
10	0.01672373063
11	0.01514692526
12	0.01372274353
13	0.01243229693
14	0.01126520712
15	0.01021255683
16	0.009270832167
17	0.008406359854
18	0.007617901305
19	0.006921604811
20	0.00628560773
21	0.00571574744
22	0.005188825312
23	0.004713022194
24	0.004276671283
25	0.003886961884
26	0.0035357418
27	0.003213721134
28	0.002925675684
29	0.002660668071
30	0.002425517995
31	0.002210471034
32	0.002018363713
33	0.001841487677
34	0.001679327735
35	0.001531966141
36	0.001401601234
37	0.001282573998
38	0.001174120076
39	0.001077760917
40	0.000989610544
41	0.0009101372843
42	0.0008387829548
43	0.0007755097125
44	0.0007196353357
45	0.0006662312219
46	0.0006202943456
47	0.0005793810572
48	0.0005400472322
49	0.0005050148567
50	0.0004741393023
51	0.0004463049379
52	0.0004189285012
53	0.0003963026633
54	0.0003718047382
55	0.0003456156193
56	0.0003259639158
57	0.0003049201067
58	0.00029097132
59	0.0002733173193
60	0.0002621079817
61	0.0002520507296
62	0.0002495516336
63	0.0002472456876
64	0.0002401926357
65	0.0002382771889
66	0.0002367248203
67	0.0002346160549
68	0.0002256552303
69	0.0002237071531
70	0.0002223646416
71	0.0002167592393
72	0.0002152753729
73	0.0002140736471
74	0.0002124929903
75	0.0002056225757
76	0.000204545078
77	0.0002035096642
78	0.0001974340141
79	0.0001964631211
80	0.0001952777042
81	0.0001922742003
82	0.0001911751942
83	0.0001902005842
84	0.0001894233898
85	0.0001781189943
86	0.000177092551
87	0.0001760098705
88	0.0001657912383
89	0.0001649162498
90	0.0001579051458
91	0.0001569839339
92	0.0001561502824
93	0.0001554093822
94	0.000152081893
95	0.0001513922426
96	0.0001507206737
97	0.0001502124307
98	0.000145788279
99	0.00014531454
